""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"14288"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14289"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"14290"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"14291"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14292"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14293"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14294"	NA	NA	NA	NA	NA	NA	NA
"14295"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14296"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14297"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14298"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"14299"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"14300"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"14301"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14302"	"Bacteria"	"Planctomycetota"	"OM190"	NA	NA	NA	NA
"14303"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14304"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Arenicellales"	"Arenicellaceae"	"Arenicella"	NA
"14305"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	NA	NA	NA
"14306"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	NA	NA	NA
"14307"	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA
"14308"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	NA
"14309"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14310"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14311"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
